name,category_list,domain_clean
:Qounter,Application Platforms|Real Time|Social Network Media,application platforms|real time|social network media
0-6.com,Curated Web,curated web
004 Technologies,Software,SaaS
Ondine Biomedical Inc.,Biotechnology,biotechnology
H2O.ai,Analytics,analytics
One Inc.,Mobile,mobile
"1,2,3 Listo",E-Commerce,e-commerce
1.618 Technology,Networking|Real Estate|Web Hosting,networking|real estate|web hosting
1-800-DENTIST,Health and Wellness,HealthTech
1-800-DOCTORS,Health and Wellness,HealthTech
"1-800-PublicRelations, Inc.",Internet Marketing|Media|Public Relations,MarTech
1 Mainstream,Apps|Cable|Distribution|Software,SaaS
1 of 99,Entertainment|Games,AI
10-20 Media,E-Commerce,e-commerce
10 Minutes With,Education,EdTech
1000 Corks,Search,search
1000 Markets,Art|E-Commerce|Marketplaces,art|e-commerce|marketplaces
Beijing 1000CHI Software Technology,Mobile,mobile
1000Lookz,Beauty,beauty
1000memories,Curated Web,curated web
1000museums.com,Curated Web,curated web
ZenChef,Local Businesses|Restaurants,local businesses|restaurants
1001pharmacies.com,Cosmetics|Marketplaces,cosmetics|marketplaces
1006.tv,Games|Media,games|media
Redox,Health Care|Health Care Information Technology|Hospitals,HealthTech
100Plus,Analytics,analytics
1010data,Software,SaaS
Cliptone,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,MarTech
10BestThings,Curated Web,curated web
Beans Around,Coffee|Delivery|Subscription Service,coffee|delivery|subscription service
10sec,E-Commerce|Mobile Commerce|Social Commerce,e-commerce|mobile commerce|social commerce
10seconds Software,Enterprise Software|Mobility|Software,SaaS
10tracks,iOS|Mobile|Music,ios|mobile|music
10X Genomics,Biotechnology|Technology,biotechnology|technology
10X Technologies,Biotechnology,biotechnology
10X10 Room,Software,SaaS
10°North,Fashion,fashion
117go,Social Travel,social travel
12 Labs,Health and Wellness|Personal Health,HealthTech
12 Star Survival,Sports,sports
120 Sports,Sports,sports
121 Rentals,Real Estate,real estate
121cast,Audio|Mobile|Music,audio|mobile|music
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,HealthTech
1234ENTER,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,EdTech
123ContactForm,E-Commerce|SaaS,SaaS
123Greetings,Internet,internet
yelster digital gmbh (former 123people),Local Search|Software|Web Design,SaaS
1248,Software,SaaS
128 Technology,Service Providers|Technology,service providers|technology
12Bis,Publishing|Services,publishing|services
12Return,Consumer Goods|Retail|SaaS|Software,AI
12Society,E-Commerce,e-commerce
1366 Technologies,Manufacturing,manufacturing
13th Lab,Augmented Reality|Computer Vision|Games|iPad|Mobile,augmented reality|computer vision|games|ipad|mobile
140 Proof,Advertising|Big Data Analytics|Interest Graph,advertising|big data analytics|interest graph
140Fire,Advertising|Entertainment|Real Time|Social Media|Sports|Video,AI
1417,Finance|Venture Capital,FinTech
15Five,Software,SaaS
15MinutesNOW,Games,games
15ShopStop,Fashion,fashion
16 Mile Solutions,Software,SaaS
169 ST.,Entertainment|Games,AI
16Lab Inc.,Design|Development Platforms|Wearables,design|development platforms|wearables
16WiFi,Public Transportation,public transportation
170 Systems,Software,SaaS
17hats,Internet,internet
17u.cn,Travel,travel
17zuoye,Education|Language Learning,EdTech
19pay,Finance|FinTech,FinTech
1bib,Cars|Curated Web,cars|curated web
One Block Off the Grid (1BOG),Clean Technology|Residential Solar,clean technology|residential solar
1C Company,Games|Software|Video Games,SaaS
1calendar,Advertising|Education|Internet|Mobile,EdTech
1Cast,Content|Lifestyle|News|Video,content|lifestyle|news|video
1CLICK,Chat|Mobile,chat|mobile
1CloudStar,Cloud Computing|Content|Digital Media|Enterprise Software|File Sharing|Search,SaaS
1CommMedical,Health Care|Insurance|Medical,HealthTech
1Day1Song,Music Services,music services
1DayLater,Curated Web|Tracking,curated web|tracking
1DayMakeover,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,HealthTech
1doc3,Health and Wellness|Health Care|Internet|SMS,HealthTech
1DocWay,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,HealthTech
1Energy Systems,Software,SaaS
Babyscripts,Health and Wellness|Mobile Health,HealthTech
1Lay,Mobile|Mobile Devices|Mobile Security|Security|Tablets,mobile|mobile devices|mobile security|security|tablets
1Life Healthcare,Health and Wellness|Health Care|Services,HealthTech
1Mind,Social Media,social media
1mpact Revolution - Powering Helpfreely.org,Non Profit|Online Shopping|Social Fundraising,AI
1o1Media,Content|Distribution|Film|Marketplaces|Monetization|Photography|Video|Video on Demand,content|distribution|film|marketplaces|monetization|photography|video|video on demand
1Ring,Advertising|Contests|Curated Web|Games|Mobile|Music|News|Sales and Marketing|Startups|Television,MarTech
1SDK,Mobile|Mobile Analytics|Predictive Analytics|SaaS,SaaS
1spire,Manufacturing,manufacturing
1st Choice Lawn Care,Landscaping|Services,landscaping|services
1st Merchant Funding,Financial Services|FinTech,FinTech
1stdibs,E-Commerce,e-commerce
1stGig.com,E-Commerce,e-commerce
1World Online,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,SaaS
2 Minutes,Games,games
2NGageU,Consumers|Entertainment|Games|Internet|MMO Games|Mobile|Mobile Social|Social + Mobile + Local|Social Network Media|Women,AI
2-Observe,Design|Health and Wellness|Health Care|Hospitals|Medical Devices,HealthTech
2 Pro Media Group,Digital Media|Marketing Automation|Media,MarTech
20/20 Gene Systems Inc.,Biotechnology|Health Diagnostics,HealthTech
20:20 Mobile,Mobile,mobile
2080 Media,News,news
20lines,Curated Web|Education|Parenting|Publishing,EdTech
20x200,Art|E-Commerce|Social Commerce,art|e-commerce|social commerce
2100b Sausalito LLC.,Advertising|Direct Marketing|Social Media,MarTech
21Cake Food Co.,Delivery|Hospitality|Manufacturing,delivery|hospitality|manufacturing
21Diamonds,E-Commerce,e-commerce
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,SaaS
21viaNet,Software|Web Hosting,SaaS
22nd Century Group,Biotechnology,biotechnology
22seeds,Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools,SaaS
2345.com,Software,SaaS
2359 Media,Mobile,mobile
23andMe,Biotechnology|Search,biotechnology|search
23press,Blogging Platforms|Software,SaaS
[24]7,Customer Service|Predictive Analytics|Services|Software|Technology,SaaS
24 Hour Pro Muscle Gym,Sports,sports
24x7 Learning,EdTech|Education|Systems,EdTech
248 SolidState,Computers|Software|Technology,SaaS
24Fundraiser.com,Non Profit|Social Fundraising,AI
24h00,Advertising|E-Commerce|Marketing Automation,MarTech
24i,Internet,internet
24M Technologies,Clean Technology,clean technology
24me,Artificial Intelligence|Big Data|Marketplaces|Productivity,AI
24PageBooks,Software,SaaS
24Symbols,Software|Textbooks,SaaS
250ok,Software,SaaS
265 Network,Software,SaaS
27 bards,Software|Tourism,SaaS
27 Perry,E-Commerce|Finance|Marketplaces,FinTech
28msec,Cloud Computing|Databases|Software|Web Development,SaaS
